Distance (A),Integral
0.0,0.0
0.02,0.0
0.04,0.0
0.06,0.0
0.08,0.0
0.1,0.0
0.12,0.0
0.14,0.0
0.16,0.0
0.18,0.0
0.2,0.0
0.22,0.0
0.24,0.0
0.26,0.0
0.28,0.0
0.3,0.0
0.32,0.0
0.34,0.0
0.36,0.0
0.38,0.0
0.4,0.0
0.42,0.0
0.44,0.0
0.46,0.0
0.48,0.0
0.5,0.0
0.52,0.0
0.54,0.0
0.56,0.0
0.58,0.0
0.6,0.0
0.62,0.0
0.64,0.0
0.66,0.0
0.68,0.0
0.7000000000000001,0.0
0.72,0.0
0.74,0.0
0.76,0.0
0.78,0.0
0.8,0.0
0.8200000000000001,0.0
0.84,0.0
0.86,0.0
0.88,0.0
0.9,0.0
0.92,0.0
0.9400000000000001,0.0
0.96,0.0
0.98,0.0
1.0,0.0
1.02,0.0
1.04,0.0
1.06,0.0
1.08,0.0
1.1,0.0
1.12,0.0
1.1400000000000001,0.0
1.16,0.0
1.18,0.0
1.2,0.0
1.22,0.0
1.24,0.0
1.26,0.0
1.28,0.0
1.3,0.0
1.32,0.0
1.34,0.0
1.36,0.0
1.3800000000000001,0.0
1.4000000000000001,0.0
1.42,0.0
1.44,0.0
1.46,0.0
1.48,0.0
1.5,0.0
1.52,0.0
1.54,0.0
1.56,0.0
1.58,0.0
1.6,0.0
1.62,0.0
1.6400000000000001,0.0
1.6600000000000001,0.0
1.68,0.0
1.7,0.0
1.72,0.0
1.74,0.0
1.76,0.0
1.78,0.0
1.8,0.0
1.82,0.0007000000000000001
1.84,0.004
1.86,0.0189
1.8800000000000001,0.0646
1.9000000000000001,0.1831
1.92,0.4018
1.94,0.8024
1.96,1.3971
1.98,2.1538
2.0,3.0006
2.02,3.8153
2.04,4.4853
2.06,5.0359
2.08,5.4292
2.1,5.6976
2.12,5.84
2.14,5.9146
2.16,5.9569
2.18,5.9851
2.2,5.993
2.22,5.9983
2.24,5.9994
2.2600000000000002,5.9994
2.2800000000000002,5.9994
2.3000000000000003,5.9994
2.32,5.9994
2.34,5.9994
2.36,5.9994
2.38,5.9994
2.4,5.9994
2.42,5.9994
2.44,5.9994
2.46,5.9994
2.48,5.9994
2.5,5.9994
2.52,5.9994
2.54,5.9994
2.56,5.9994
2.58,5.9994
2.6,5.9994
2.62,5.9994
2.64,5.9994
2.66,5.9994
2.68,5.9994
2.7,5.9994
2.72,5.9994
2.74,5.9994
2.7600000000000002,5.9994
2.7800000000000002,5.9994
2.8000000000000003,5.9994
2.82,5.9994
2.84,5.9994
2.86,5.9994
2.88,5.9994
2.9,5.9994
2.92,5.9994
2.94,5.9994
2.96,5.9994
2.98,5.9994
3.0,5.9994
3.02,5.9994
3.04,5.9994
3.06,5.9994
3.08,5.9994
3.1,5.9994
3.12,5.9994
3.14,5.9994
3.16,5.9994
3.18,5.9994
3.2,5.9994
3.22,5.9994
3.24,5.9994
3.2600000000000002,5.9994
3.2800000000000002,5.9994
3.3000000000000003,5.9994
3.3200000000000003,5.9994
3.34,5.9994
3.36,5.9994
3.38,5.9994
3.4,5.9994
3.42,5.9994
3.44,5.9994
3.46,5.9994
3.48,5.9994
3.5,5.9994
3.52,5.9994
3.54,5.9994
3.56,5.9994
3.58,5.9994
3.6,5.9994
3.62,5.9994
3.64,5.9994
3.66,5.9994
3.68,5.9994
3.7,5.9994
3.72,5.9994
3.74,5.9994
3.7600000000000002,5.9994
3.7800000000000002,5.9994
3.8000000000000003,5.9994
3.8200000000000003,5.9994
3.84,5.9994
3.86,5.9994
3.88,5.9994
3.9,5.9994
3.92,5.9994
3.94,5.9994
3.96,5.9994
3.98,5.9994
4.0,5.9994
4.0200000000000005,5.9994
4.04,5.9994
4.0600000000000005,5.9994
4.08,5.9994
4.1,5.9994
4.12,5.9994
4.14,5.9994
4.16,5.9994
4.18,5.9994
4.2,5.9994
4.22,5.9994
4.24,5.9994
4.26,5.9994
4.28,5.9994
4.3,5.9994
4.32,5.9994
4.34,5.9994
4.36,5.9994
4.38,5.9994
4.4,5.9994
4.42,5.9994
4.44,5.9994
4.46,5.9994
4.48,5.9994
4.5,5.9994
4.5200000000000005,5.9994
4.54,5.9994
4.5600000000000005,5.9994
4.58,5.9994
4.6000000000000005,5.9994
4.62,5.9994
4.64,5.9994
4.66,5.9994
4.68,5.9994
4.7,5.9994
4.72,5.9994
4.74,5.9994
4.76,5.9994
4.78,5.9994
4.8,5.9994
4.82,5.9994
4.84,5.9994
4.86,5.9994
4.88,5.9994
4.9,5.9994
4.92,5.9994
4.94,5.9994
4.96,5.9994
4.98,5.9994
5.0,5.9994
5.0200000000000005,5.9994
5.04,5.9994
5.0600000000000005,5.9994
5.08,5.9994
5.1000000000000005,5.9994
5.12,5.9994
5.14,5.9994
5.16,5.9994
5.18,5.9994
5.2,5.9994
5.22,5.9994
5.24,5.9994
5.26,5.9994
5.28,5.9994
5.3,5.9994
5.32,5.9994
5.34,5.9994
5.36,5.9994
5.38,5.9994
5.4,5.9994
5.42,5.9994
5.44,5.9994
5.46,5.9994
5.48,5.9994
5.5,5.9994
5.5200000000000005,5.9994
5.54,5.9994
5.5600000000000005,5.9994
5.58,5.9994
5.6000000000000005,5.9994
5.62,5.9994
5.64,5.9994
5.66,5.9994
5.68,5.9994
5.7,5.9994
5.72,5.9994
5.74,5.9994
5.76,5.9994
5.78,5.9994
5.8,5.9994
5.82,5.9994
5.84,5.9994
5.86,5.9994
5.88,5.9994
5.9,5.9994
5.92,5.9994
5.94,5.9994
5.96,5.9994
5.98,5.9994
