Distance (A),Integral
0.0,0.0
0.02,0.0
0.04,0.0
0.06,0.0
0.08,0.0
0.1,0.0
0.12,0.0
0.14,0.0
0.16,0.0
0.18,0.0
0.2,0.0
0.22,0.0
0.24,0.0
0.26,0.0
0.28,0.0
0.3,0.0
0.32,0.0
0.34,0.0
0.36,0.0
0.38,0.0
0.4,0.0
0.42,0.0
0.44,0.0
0.46,0.0
0.48,0.0
0.5,0.0
0.52,0.0
0.54,0.0
0.56,0.0
0.58,0.0
0.6,0.0
0.62,0.0
0.64,0.0
0.66,0.0
0.68,0.0
0.7000000000000001,0.0
0.72,0.0
0.74,0.0
0.76,0.0
0.78,0.0
0.8,0.0
0.8200000000000001,0.0
0.84,0.0
0.86,0.0
0.88,0.0
0.9,0.0
0.92,0.0
0.9400000000000001,0.0
0.96,0.0
0.98,0.0
1.0,0.0
1.02,0.0
1.04,0.0
1.06,0.0
1.08,0.0
1.1,0.0
1.12,0.0
1.1400000000000001,0.0
1.16,0.0
1.18,0.0
1.2,0.0
1.22,0.0
1.24,0.0
1.26,0.0
1.28,0.0
1.3,0.0
1.32,0.0
1.34,0.0
1.36,0.0
1.3800000000000001,0.0
1.4000000000000001,0.0
1.42,0.0
1.44,0.0
1.46,0.0
1.48,0.0
1.5,0.0
1.52,0.0
1.54,0.0
1.56,0.0
1.58,0.0
1.6,0.0
1.62,0.0
1.6400000000000001,0.0
1.6600000000000001,0.0
1.68,0.0
1.7,0.0
1.72,0.0
1.74,0.0
1.76,0.0
1.78,0.0
1.8,0.0
1.82,0.0
1.84,0.0
1.86,0.0
1.8800000000000001,0.0
1.9000000000000001,0.0
1.92,0.0
1.94,0.0
1.96,0.0
1.98,0.0
2.0,0.0
2.02,0.0
2.04,0.0
2.06,0.0
2.08,0.0
2.1,0.0
2.12,0.0
2.14,0.0
2.16,0.0
2.18,0.0
2.2,0.0
2.22,0.0012000000000000001
2.24,0.006300000000000001
2.2600000000000002,0.0158
2.2800000000000002,0.0333
2.3000000000000003,0.07500000000000001
2.32,0.1622
2.34,0.3024
2.36,0.5588
2.38,0.8767
2.4,1.2854
2.42,1.7455
2.44,2.235
2.46,2.7408
2.48,3.2298
2.5,3.6879
2.52,4.1451
2.54,4.5363
2.56,4.8663
2.58,5.179
2.6,5.4605
2.62,5.7029
2.64,5.9062
2.66,6.0938
2.68,6.3005
2.7,6.4978
2.72,6.7049
2.74,6.9071
2.7600000000000002,7.0861
2.7800000000000002,7.2708
2.8000000000000003,7.4745
2.82,7.6784
2.84,7.8638
2.86,8.0311
2.88,8.1551
2.9,8.2573
2.92,8.3516
2.94,8.4508
2.96,8.533
2.98,8.6074
3.0,8.667
3.02,8.7212
3.04,8.7666
3.06,8.8011
3.08,8.8307
3.1,8.8519
3.12,8.8755
3.14,8.8985
3.16,8.9089
3.18,8.9211
3.2,8.9347
3.22,8.9439
3.24,8.954
3.2600000000000002,8.9625
3.2800000000000002,8.9705
3.3000000000000003,8.9834
3.3200000000000003,8.9875
3.34,8.9918
3.36,8.997
3.38,8.9991
3.4,8.9991
3.42,8.9991
3.44,8.9991
3.46,8.9991
3.48,8.9991
3.5,8.9991
3.52,8.9991
3.54,8.9991
3.56,8.9991
3.58,8.9991
3.6,8.9991
3.62,8.9991
3.64,8.9991
3.66,8.9991
3.68,8.9991
3.7,8.9991
3.72,8.9991
3.74,8.9991
3.7600000000000002,8.9991
3.7800000000000002,8.9991
3.8000000000000003,8.9991
3.8200000000000003,8.9991
3.84,8.9991
3.86,8.9991
3.88,8.9991
3.9,8.9991
3.92,8.9991
3.94,8.9991
3.96,8.9991
3.98,8.9991
4.0,8.9991
4.0200000000000005,8.9991
4.04,8.9991
4.0600000000000005,8.9991
4.08,8.9991
4.1,8.9991
4.12,8.9991
4.14,8.9997
4.16,9.0004
4.18,9.0025
4.2,9.0041
4.22,9.0069
4.24,9.0111
4.26,9.0153
4.28,9.0202
4.3,9.0297
4.32,9.0463
4.34,9.0771
4.36,9.1202
4.38,9.1815
4.4,9.2743
4.42,9.4152
4.44,9.5793
4.46,9.7913
4.48,10.0305
4.5,10.2991
4.5200000000000005,10.6172
4.54,10.9632
4.5600000000000005,11.2959
4.58,11.5934
4.6000000000000005,11.8669
4.62,12.1199
4.64,12.326
4.66,12.4974
4.68,12.6459
4.7,12.7452
4.72,12.8181
4.74,12.8635
4.76,12.8973
4.78,12.9252
4.8,12.954
4.82,12.9692
4.84,12.9834
4.86,12.9928
4.88,12.9948
4.9,12.9971
4.92,12.9981
4.94,12.9987
4.96,12.9987
4.98,12.9987
5.0,12.9987
5.0200000000000005,12.9987
5.04,12.9987
5.0600000000000005,12.9987
5.08,12.9987
5.1000000000000005,12.9987
5.12,12.9987
5.14,12.9987
5.16,12.9987
5.18,12.9987
5.2,12.9987
5.22,12.9987
5.24,12.9987
5.26,12.9987
5.28,12.9987
5.3,12.9987
5.32,12.9987
5.34,12.9987
5.36,12.9987
5.38,12.9987
5.4,12.9987
5.42,12.9987
5.44,12.9987
5.46,12.9987
5.48,12.9987
5.5,12.9987
5.5200000000000005,12.9987
5.54,12.9987
5.5600000000000005,12.9987
5.58,12.9987
5.6000000000000005,12.9987
5.62,12.9987
5.64,12.9987
5.66,12.9987
5.68,12.9987
5.7,12.9987
5.72,12.9987
5.74,12.9987
5.76,12.9987
5.78,12.9987
5.8,12.9987
5.82,12.9987
5.84,12.9987
5.86,12.9987
5.88,12.9987
5.9,12.9987
5.92,12.9987
5.94,12.9987
5.96,12.9987
5.98,12.9987
